PostCodes,Posttown,GDescription
CV2,Warwickshire,Group 2
OX13,Oxfordshire,Group 3
NE85,Tyne and Wear,Group 1
TN26,Kent,Group 3
RH14,West Sussex,Group 3
NG13,Leicestershire,Group 1
NE31,Tyne and Wear,Group 1
CB22,Cambridgeshire,Group 3
WV8,Staffordshire,Group 2
S42,Derbyshire,Group 1
GL51,Gloucestershire,Group 2
LS24,North Yorkshire,Group 1
TD12,Northumberland,Group 1
PR3,Lancashire,Group 1
E1,Greater London,Group 3
16,Ards,Unallocated
FK9,Stirling,Group 1
TA1,Somerset,Group 2
IP27,Norfolk,Group 3
LS11,West Yorkshire,Group 1
ME9,Kent,Group 3
KY13,Perth and Kinross,Group 1
KA15,North Ayrshire,Group 1
DN16,Lincolnshire,Group 1
LL23,Gwynedd,Group 2
PE2,Cambridgeshire,Group 1
BD23,West Yorkshire,Group 1
EH17,Midlothian,Group 1
PA61,Argyll and Bute,Group 1
W10,Greater London,Group 3
MK2,Buckinghamshire,Group 3
SA11,Neath Port Talbot,Group 2
BS24,Somerset,Group 2
BL5,Lancashire,Group 2
NE25,Northumberland,Group 1
DN18,Lincolnshire,Group 1
NR9,Norfolk,Group 3
PA19,Inverclyde,Group 1
SO40,Hampshire,Group 2
OL2,Lancashire,Group 1
EX8,Devon,Group 2
S1,South Yorkshire,Group 1
B93,West Midlands,Group 2
GU28,West Sussex,Group 2
NE18,Northumberland,Group 1
SA20,Carmarthenshire,Group 2
GU34,Hampshire,Group 2
G82,West Dunbartonshire,Group 1
L4,Merseyside,Group 2
SO43,Hampshire,Group 2
S6,South Yorkshire,Group 1
OX4,Oxfordshire,Group 3
TS28,Durham,Group 1
NG17,Nottinghamshire,Group 1
BA4,Somerset,Group 2
TW11,Greater London,Group 3
TA20,Dorset,Group 2
WA12,Lancashire,Group 2
PO9,Hampshire,Group 2
EH21,City of Edinburgh,Group 1
SA44,Carmarthenshire,Group 2
M27,Greater Manchester,Group 2
SY12,Shropshire,Group 2
FK19,Stirling,Group 1
201,Aberdeen City,Group 1
CW2,Cheshire,Group 2
WR14,Worcestershire,Group 2
TN32,East Sussex,Group 3
CA15,Cumbria,Group 1
TS1,North Yorkshire,Group 1
PA3,Renfrewshire,Group 1
NW7,Greater London,Group 3
AB41,Aberdeenshire,Group 1
KY14,Fife,Group 1
IV22,Highland,Group 1
DA12,Kent,Group 3
SK11,Cheshire,Group 2
WS5,West Midlands,Group 2
EX4,Devon,Group 2
EC2M,Greater London,Group 3
LU6,Bedfordshire,Group 3
TS26,Durham,Group 1
BR1,Kent,Group 3
SY15,Shropshire,Group 2
IP14,Suffolk,Group 3
IV16,Highland,Group 1
DA5,Kent,Group 3
KT21,Surrey,Group 2
SN15,Wiltshire,Group 2
TW17,Surrey,Group 3
MK12,Buckinghamshire,Group 3
L14,Merseyside,Group 2
NR25,Norfolk,Group 3
LE87,Leicestershire,Group 2
YO31,North Yorkshire,Group 1
BT30,Down,Unallocated
SK9,Cheshire,Group 2
TA17,Somerset,Group 2
NG15,Nottinghamshire,Group 1
LD6,Powys,Group 2
M7,Greater Manchester,Group 2
LL59,Isle of Anglesey,Group 2
NE27,Tyne and Wear,Group 1
N16,Greater London,Group 3
WC1N,Greater London,Group 3
BT23,Ards,Unallocated
IM5,NULL,Unallocated
CF63,The Vale of Glamorgan,Group 2
M35,Lancashire,Group 2
SO53,Hampshire,Group 2
B19,West Midlands,Group 2
SY23,Ceredigion,Group 2
LA7,Cumbria,Group 1
LN11,Lincolnshire,Group 1
CF14,Cardiff,Group 2
ME16,Kent,Group 3
SE24,Greater London,Group 3
GL2,Gloucestershire,Group 2
NE24,Northumberland,Group 1
DY9,West Midlands,Group 2
S79,South Yorkshire,Group 1
HU12,East Riding of Yorkshire,Group 1
NR7,Norfolk,Group 3
PO20,West Sussex,Group 2
TF9,Shropshire,Group 2
CH28,Merseyside,Group 2
KA8,South Ayrshire,Group 1
BS34,Gloucestershire,Group 2
WF5,West Yorkshire,Group 1
CT1,Kent,Group 3
SA38,Carmarthenshire,Group 2
TW19,Berkshire,Group 3
OX44,Oxfordshire,Group 3
GL5,Gloucestershire,Group 2
SG11,Hertfordshire,Group 3
SK4,Cheshire,Group 2
BN99,West Sussex,Group 3
BT11,Belfast,Unallocated
CT16,Kent,Group 3
EH14,City of Edinburgh,Group 1
WF10,West Yorkshire,Group 1
BT17,Lisburn,Unallocated
S62,South Yorkshire,Group 1
LS1,West Yorkshire,Group 1
CM4,Greater London,Group 3
LL43,Gwynedd,Group 2
SW1E,Greater London,Group 3
PO34,Isle of Wight,Group 2
ST1,Staffordshire,Group 2
S29,South Yorkshire,Group 1
WN3,Lancashire,Group 2
NN10,Bedfordshire,Group 2
G15,Glasgow City,Group 1
CH25,Merseyside,Group 2
HS8,Eilean Siar,Unallocated
AB52,Aberdeenshire,Group 1
TA16,Somerset,Group 2
PH5,Perth and Kinross,Group 1
HP9,Buckinghamshire,Group 3
BS40,Somerset,Group 2
N81,Greater London,Group 3
CF35,Bridgend,Group 2
ME10,Kent,Group 3
SK13,Derbyshire,Group 2
KY1,Fife,Group 1
S48,South Yorkshire,Group 1
G28,Glasgow City,Group 1
RG29,Hampshire,Group 2
IP8,Suffolk,Group 3
IV30,Moray,Group 1
NP16,Gloucestershire,Group 2
CF91,"Rhondda, Cynon, Taff",Group 2
AB31,Aberdeenshire,Group 1
HA8,Greater London,Group 3
CH66,Cheshire,Group 2
W8,Greater London,Group 3
BT34,Newry and Mourne,Unallocated
BH8,Dorset,Group 2
IP24,Norfolk,Group 3
PA7,Renfrewshire,Group 1
S98,South Yorkshire,Group 1
YO24,North Yorkshire,Group 1
DE14,Staffordshire,Group 1
OX28,Oxfordshire,Group 3
G79,South Lanarkshire,Group 1
M43,Greater Manchester,Group 2
NE12,Tyne and Wear,Group 1
MK46,Buckinghamshire,Group 3
GU27,Surrey,Group 2
B50,Warwickshire,Group 2
PE37,Norfolk,Group 1
SA35,Pembrokeshire,Group 2
BT20,North Down,Unallocated
BN88,East Sussex,Group 3
BT42,Ballymena,Unallocated
RG26,Hampshire,Group 2
AB10,Aberdeen City,Group 1
TD8,Scottish Borders,Group 1
TQ8,Devon,Group 2
WA14,Cheshire,Group 2
CM15,Greater London,Group 3
KT2,Greater London,Group 2
PE13,Cambridgeshire,Group 1
B96,Worcestershire,Group 2
W9,Greater London,Group 3
ME8,Kent,Group 3
56,Ards,Unallocated
M20,Greater Manchester,Group 2
IP18,Suffolk,Group 3
B69,West Midlands,Group 2
S53,South Yorkshire,Group 1
ME4,Kent,Group 3
G32,Glasgow City,Group 1
CB25,Cambridgeshire,Group 3
DD8,Angus,Group 1
B94,Warwickshire,Group 2
BH13,Dorset,Group 2
LE16,Leicestershire,Group 2
DG7,Dumfries and Galloway,Group 1
NN17,Northamptonshire,Group 2
TD6,Scottish Borders,Group 1
LA10,Cumbria,Group 1
KA28,North Ayrshire,Group 1
101,Aberdeen City,Group 1
G8,Glasgow City,Group 1
KT11,Surrey,Group 2
W1H,Greater London,Group 3
SK5,Cheshire,Group 2
LL72,Isle of Anglesey,Group 2
W14,Greater London,Group 3
E17,Greater London,Group 3
OX2,Oxfordshire,Group 3
CH64,Cheshire,Group 2
BT31,Down,Unallocated
TR12,Cornwall,Group 2
RH4,Surrey,Group 3
EX11,Devon,Group 2
RG6,Berkshire,Group 2
GY7,Guernsey,Unallocated
G66,East Dunbartonshire,Group 1
L75,Merseyside,Group 2
SW95,Greater London,Group 3
S43,Derbyshire,Group 1
DE73,Derbyshire,Group 1
ML4,North Lanarkshire,Group 1
WA5,Cheshire,Group 2
LL29,Conwy,Group 2
PH38,Highland,Group 1
EN1,Greater London,Group 3
SW9,Greater London,Group 3
CA27,Cumbria,Group 1
G52,Renfrewshire,Group 1
LL40,Gwynedd,Group 2
PE11,Lincolnshire,Group 1
LU5,Bedfordshire,Group 3
G11,Glasgow City,Group 1
NE92,Tyne and Wear,Group 1
SA63,Pembrokeshire,Group 2
BS37,Gloucestershire,Group 2
EC1P,Greater London,Group 3
PO17,Hampshire,Group 2
YO26,North Yorkshire,Group 1
WF16,West Yorkshire,Group 1
FK8,Stirling,Group 1
NE66,Northumberland,Group 1
NG34,Lincolnshire,Group 1
NR3,Norfolk,Group 3
AB15,Aberdeen City,Group 1
DA13,Kent,Group 3
G19,Glasgow City,Group 1
GU51,Hampshire,Group 2
SA31,Carmarthenshire,Group 2
EC2A,Greater London,Group 3
M61,Greater Manchester,Group 2
SO18,Hampshire,Group 2
WF8,North Yorkshire,Group 1
AB39,Aberdeenshire,Group 1
GL1,Gloucestershire,Group 2
NP23,Blaenau Gwent,Group 2
CR44,Greater London,Group 3
GY3,Guernsey,Unallocated
SG7,Hertfordshire,Group 3
CM12,Greater London,Group 3
IM1,NULL,Unallocated
WR9,Worcestershire,Group 2
GU20,Surrey,Group 2
LE12,Leicestershire,Group 2
G77,Glasgow City,Group 1
CM16,Greater London,Group 3
PO13,Hampshire,Group 2
E15,Greater London,Group 3
MK77,Buckinghamshire,Group 3
MK7,Buckinghamshire,Group 3
SA40,Carmarthenshire,Group 2
FY4,Lancashire,Group 1
DE45,Derbyshire,Group 1
L35,Merseyside,Group 2
PE4,Cambridgeshire,Group 1
BR7,Kent,Group 3
PA67,Argyll and Bute,Group 1
SA73,Pembrokeshire,Group 2
TR15,Cornwall,Group 2
TS2,Durham,Group 1
DE24,Derbyshire,Group 1
CF42,"Rhondda, Cynon, Taff",Group 2
S50,South Yorkshire,Group 1
M24,Greater Manchester,Group 2
NP15,Monmouthshire,Group 2
E7,Greater London,Group 3
S32,Derbyshire,Group 1
BD2,West Yorkshire,Group 1
PE33,Norfolk,Group 1
SO52,Hampshire,Group 2
IV17,Highland,Group 1
EX31,Devon,Group 2
SW1P,Greater London,Group 3
DN31,Lincolnshire,Group 1
LS88,West Yorkshire,Group 1
G60,West Dunbartonshire,Group 1
TN37,East Sussex,Group 3
NG1,Nottinghamshire,Group 1
TF8,Shropshire,Group 2
LU7,Bedfordshire,Group 3
EN3,Greater London,Group 3
SW11,Greater London,Group 3
NP20,Newport,Group 2
SG19,Cambridgeshire,Group 3
